,character,seid,lemmatized,polarity,subjectivity,compound,neg,neu,pos,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,word_count,season,topic,topic_label
2,george,S01E01,be you through yes it be purple I like it I do nt actually recall consider the button on an imaginary microphone uh no not at this time be be you sure this be decaf where s the orange indicator how come you re not doin the second show tomorrow wait a second wait a second what come in what woman be come in no you do nt ha wait wait wait what be she   take the milk can from jerry and put it on the table what be she like smile so you know what what happen oh nothing happen but it be this be great so you know she call and say she want to go out with you tomorrow night god bless devil you whistle disapprovingly ho ho ho have to had to come in have to come in and maybe well get together have to and maybe no no no I hate to tell you this you re not gon na see this woman how do I know maybe you know maybe she want to be polite all right all right I do nt want to tell you this you wanna know why she call you you re a backup you re a secondline a justincase a bplan a contingency claire claire you re a woman right uhm i d like to ask you ask you to analyze a hypothetical phone call you know from a female point of view to claire now a woman call I all right she say she have to come to new york on business   and and maybe shell see I when she get there do this woman intend to spend time with I to be polite I rest my case I m not gon na watch you do laundry come on i m tired panic right I know I feel something jerry I have to tell you something this be the dull moment I ve ever experience I need a break jerry you know I get ta get out of the city I feel so cramped what I ca nt believe fall on his knee we already discuss this cause its signal jerry its signal snap his finger do nt you all right do she even ask you what you be doin tomorrow night if you be busy she call you today and she do nt make a plan for tomorrow what be that its saturday night what be that its ridiculous you do nt even know what hotel she s stay at you ca nt call she that s a signal jerry that s a signal snap his finger signal maybe I m right of course I m right I know I know listen your stuff have to be do by now why do nt you just see if its dry you re gon na overdry it why not to the other laundry patron any question look at that they re do you know I ca nt believe you re bringin in an extra bed for woman that want to sleep with you why do nt you bring in an extra guy too all right all right one more time one more time what be the exact phrasing of the request a decent hotelroom you ca nt be serious this be new york city there must be eleven million decent hotel room whatta you need a flag wave his handkerchief this be the signal jerry this be the signal I think I be affect by the caffeine ho ho ho good dog good dog well that s flattering right can we go cause I m doubleparke I m gon na get a ticket so what that s good because filth be good whaddaya think rock star have sponge and ammonia lyin around the bathroom they have a woman comin over I ve get ta tidy up yeah right in these matter you never do what your instinct tell you always always do the opposite yeah I wish yeah feel awkward its uh not bad its comin along why do you need something well I might be get into that I m aware of you to jerry all right let go open the bathroom door let go what a world that would be if you just could ask a woman what she s thinkin listen listen do nt get work up cause you re gon na know the whole story the minute she step off the plane cause its all in the greeting all right if she put the bag down before she greet you that s a good sign you know anything in the in the lip area be good you know a hug definitely good sure that s so brutal I hate that that s why you know a shake be bad hand sandwich I see well that s open to interpretation because so much depend on the layering and the quality of the wetness in the eye hi how be you laura sure yes the surprise blindfold greeting that be nt in the manual I do nt know what do she look like what actress do she remind you of loni anderson yeah sure I be show a condo on   street besides you think I wanna miss this chuckle yeah I too you come to see I I work in the building I m an architect I m not somewhat annoyed I suppose you could be an architect all right she s not even gon na ask if we see she which be remote be have lunch with a friend he work in the building bert   har   bin   son bert harbinson no good all right uh how about art   cor   velay yeah right he s an importer annoy he s an importerexporter okay beat elaine ever call you back I do nt understand you never talk to she about other woman anxious I forget who I be who be I vandelay let I be the architect I can do it nice to meet you yeah art vandelay   and exporter clear his throat I m uh I m an architect uh railroad uh they can ill just uh get a paper,0.15476863876863878,0.529920153920154,0.9912,0.091,0.774,0.135,9.33510700366403e-06,3.26728745128241e-05,9.33510700366403e-06,1.4936171205862447e-05,1.4936171205862447e-05,2.3337767509160075e-05,2.6138299610259284e-05,1.3069149805129642e-05,1.3069149805129642e-05,1.867021400732806e-05,1035,S01,0,"0: Dating, Relationships, Sex "
567,george,S01E02,from the intercom yeah to jerry ready hey elaine come to the airport with we oh the actresswaitress so just kick she out yeah well a little rough find something good in your pricerange to jerry but you my friend may be in luck no no no this one different this one a beauty I have nt see it yet but its a twobedroom its on the uh west   bout a half block from the park uh twice what you re payin here but its a great building its two bedroom yeah tell I m but quickly I m double park here let not forget the radiator the steam have be on here for ten year no human can turn this off jerry what do you you wanna you wanna see the place or not I do nt know how you put up with this I do nt know there be a fireplace a fireplace that s incredible I do nt know there be a fireplace a garden I ca nt believe there s a garden to elaine you do nt tip a gardener you do nt need a gardener I have plant snort its your decision unenthusiastic congratulation from the intercom yeah its george hey what s goin on frantic oh jerry jerry jerry jerry jerry listen if if you be feel uncomfortable about this at all at all do not feel like you have to take it if you re have second thought if you do nt want it do nt worry about it because uh you know I I I could take it you know no I do nt want it I want it if you do nt want it no I I want it if you do nt want it no I m say if a situation arise in which you do nt want it I might take it how can I take it its your apartment yes but I be not take it I I do nt know who flip you ll flip ill call I m good no catchin flip it head no it hit the table it hit the table interference you ca nt count that come on be you crazy the coin can not touch anything it affect it you do nt have to call that that s a rule oh oh oh all right fine jerry you win take it just take it okay they walk around each other ok ill choose you whaddaya want I want even you get odd right ready mine congratulation congratulation I m just gon na wash george walk to the bathroom scream why do I put up two why do I put up two I love the mirror in that bathroom I do nt know what in the hell it be I look terrific in that mirror george sit I do nt know if its the tile or the lighting   I feel like robert wagner I do nt know I ca nt eat you you ca nt have anything anymore look at this look at this egg out coffee out french fry out blt out I go to visit my grandparent three big brisket sandwich I m sittin here with a carrot they re close in on a hundred I m sayin to they how can you eat that stuff they look at their menu again I m so sick about losin that choose you do nt know what why not oh get outta here I wo nt mope no impossible its your apartment you win the choose well I neither definitely no its not a problem I can get rid of the apartment this afternoon oh its a great place its uh twobedroom uh west   bout half block from the park I do nt know what be doin here this be ridiculous the table be interference you know it it be too hi carol be really glad for you be aware of the proximity to the park yes nice meeting you,0.1502827380952381,0.5434226190476191,0.9805,0.126,0.706,0.168,2.0108990729755275e-05,1.564032612314299e-05,1.340599381983685e-05,2.0108990729755275e-05,2.4577655336367558e-05,3.351498454959212e-05,3.574931685289827e-05,1.7874658426449134e-05,1.1171661516530707e-05,1.340599381983685e-05,669,S01,0,"0: Dating, Relationships, Sex "
838,george,S01E03,I have to say something chuckle I have to say something everything be go so well I have to say something I tell she I like she why why do I tell she I like she I have this sick compulsion to tell woman how I feel I like you I do nt tell you I m outta the picture I be outta the picture laugh its only a matter of time now oh no no no no no ill tell you when it happen when that floss come fly out of my pocket we be in the lobby during the intermission of the play I be buy she one of those container of orange drink for five dollar I reach into my pocket to pay for it I look down there s this piece of green floss hang from my finger of course so I m look at it I look up I see she s look at it our eye lock it be a horrible moment I just if I do nt put that floss in my pocket i d be crawl around her bedroom right now look for my glass yes I be what you do nt like this what do you mean wednesday I though we have ticket to the knick game wednesday we get seat behind the bench what happen be not go oh who be this guy I do nt know why you even bother with this ping pong guy ill tell you that I do nt understand why you spend time with this guy no no no no you have to approach this as if he be a woman absolutely you just tell he the truth   she call I up at my office contd she say we have to talk that or who s bra be this so we order lunch and be talk finally she blurt out how its not work so I m think as she s say this I m think great the relationship over but the egg salad on the way so now I have a decision do I walk or do I eat we sit there for twenty minute chew stare at each other in a defunct relationship have you ever have their egg salad its unbelievable you know what else be unbelievable I pick up the check she do nt even offer she end it the least she could do be send I off with a sandwich its my money what should I do throw it out the window I know a guy who take his vacation on his change sarcastically that s funny you re a funny guy ewing hurt how long be he go to be out geez I get scared there for a second the knick without ewe what about it what not believe he you what no my ticket you give my ticket to horneck why do you give he my ticket for oh cmon jerry I ca nt believe this oh please to the teller can you change this into bill I m not go with he I do nt even know the guy to the teller look they do this for I before you want I to roll six thousand of these what should I quit my job   thirtytwo thirtythree not now nnnnnnngaaa what oh yeah sure keep your money oh geeeee george pantomime stick a knife in his heart and twist it go go he be really cry wait a minute wait a minute as long as you re go to lie to the guy why do nt you tell he that you lose both of the ticket then we can go this be the thing where you go and you have to make your own pizza you know you have to know how to do that you ca nt have people shove their arm into a sixhundre degree oven oh well my money all tie up in change right now trapezoid,0.0004857690202517695,0.6765120415982484,-0.0115,0.074,0.85,0.077,2.2818338642400126e-05,2.966384023512016e-05,1.3691003185440076e-05,1.1409169321200063e-05,1.3691003185440076e-05,3.1945674099360174e-05,2.966384023512016e-05,1.5972837049680087e-05,1.3691003185440076e-05,1.3691003185440076e-05,662,S01,3,"3: Family, Friends, Food"
1080,george,S01E04,I never hear he say anything really funny you would think that but either you re bear with a sense of humor or you re not its not go to change even if you go from the red sun of krypton all the way to the yellow sun of the earth I do nt know but he ai nt funny pardon guy with cat   I do nt know oh no no no no no no i d have to advise against that what do you know this woman a month let see you re go to be with her seventytwo hour that s a date decathlon that s exquisite listen uh if its not too much trouble could you pass I that paper over there up again this be incredible I m I m get it a stock do you ever meet my friend simon he know this guy wilkinson he make a fortune in the stock market now he s get some new thing you know there s suppose to be a big merger he be nt even suppose to say anything you guy should think about do this too I do nt know but simon say that if I want to get involve that wilkinson would tell I the exact right minute to sell you wanna do it its call sendrax they ve get some new kind of technique for televise opera some sort of electronic thingy five thousand   ten ten thousand five thousand cmon wilkinson get million invest in this stock its go up three point since I ve be watch it cmon go for twentyfive hundred well do it together come on come on be in it together that s it gesture to jerry check the raiser ill have the tuna all simon be able to find out be that he s in the hospital of course he s be in touch with he he s leave two message he just have nt hear back yet that s all just give it a little more time all right all right that s it I m gon na go down there to the hospital I m go to find out what s go on all right so what ill start talk to he you know casual and ill work my way around to it maybe he s rest what be you a doctor today I m go today just do nt do anything until you hear from I to the woman boy I have to get to a bathroom fifteen second yeah I mention simon next thing I know I m in the parking lot perhaps they have some sort of a fall out ill tell you one thing I do nt know what he s get but for a sick guy he s very strong laugh not quite I m keep it I m go down with the ship laugh have something else cmon have a little dessert elaine get something its all take care of so do nt finish it I do nt like to discuss figure I do nt know what eight thousand its a hyundai get out of here I tell you not to sell simon make money wilkinson clean up he choose the cat I tell you those trip be relationship killer too bad you ca nt get your buddy superman to fly around the earth at super speed and reverse time you d get all the money back you could have avoid the whole trip to vermont pst move in close with elaine and jerry wilkinson get a bite on a new one petramco corp out of uh springfield I think they re about to introduce some sort of a robot butcher shhhhh if you want to get in there s very little time call to the waitress sweetheart waitress approach and tear off a check george stop she no no no that ought to cover it he hand she some money she turn to leave george stop she just a second just a   let I juspeek   he look at the check then take some money out of her hand george urge jerry and elaine to eat come on come on come on,0.08046965688632356,0.4982166105499439,0.9337,0.091,0.805,0.104,2.428122514968364e-05,2.832809600796424e-05,1.6187483433122424e-05,2.225778972054333e-05,2.832809600796424e-05,2.630466057882394e-05,3.844527315366576e-05,2.0234354291403032e-05,2.225778972054333e-05,2.832809600796424e-05,703,S01,0,"0: Dating, Relationships, Sex "
1309,george,S02E01,she ca nt kill I right people break up all the time it just do nt work out what can I do I want to love she I try to love she I could nt I keep look at her face i d go cmon love her love she oh I have no choice she squeeze it out of I shed tell I she love I all right at first I just look at she i d go oh really or uh boy that s that s something but eventually you have to come back with well I love you you know you can only hold out for so long and I do nt even ask she out she ask I out first she call I up what be I suppose to do say no laugh I ca nt do that to someone I be I m a nice guy and she seduce I we be in my apartment I m sit on the couch she s on the chair I get up to go to the bathroom I come back she s on the couch what be I suppose to do not do anything I could nt do that I would ve insult she I have nothing to do wtih any of this I meet all her friend I do nt want to meet they I keep try to avoid it I know it would only get I in deep but they be everywhere they keep pop up all over the place this be nancy this be susan this be amy this be my cousin this be my brother this be my father   its like I m in quicksand my back be kill I oh yeah everybodys guy be the good please they do nt do anything look do I have to break up with she in person ca nt I do it over the phone ii have no stomach for these thing I m let you in no you wo nt okay please it do nt look good boy boy girl be it that obvious singe imitate tony bennett you know i d go from nod to nothing I think you absolutely have to say something to this guy confront he yes if I be a different person I m outta there I do it its over I tell she in the kitchen   which be risky cause its near all the knife I start with the word listen I say listen marlene and then the next thing I know I m in the middle of it and there s this voice inside of I go you re do it you re do it and then she start to cry and I weaken a bit I almost relent but the voice jerry the voice say keep go keep go you re almost out its like I be make a prison break you know and I m head for the wall and I trip and I twist my ankle and they throw the light on you you know so somehow I get though the crying and I keep run then the cursing start she s fire at I from the guard tower son of a bang son of a boom I get to the top of the wall   the front door I open it up I m one foot away I take one last look around the penitentiary and I jump uh no I I do nt think so oh no thank you no really no no thank except for one small problem hah I leave some book in her apartment oh no no I ca nt go back there jerry its so awkward and you know it could be dangerous sexually something could happen i d be right back where I start from well yeah I do nt know they re book they re my book jerry its not my fault its standard have she leave you one of those message where she use up the whole machine what try to get off the phone just do it like a bandaid one motion right off beat she be sexy though do nt you think yeah to jerry sarcastically yeah doctor I m go to have to wait in that little room all by myself be nt I he pick up a crossword puzzle I well take this I hate the little room george walk into the hallway that lead to the doctor office oh hello doctor I be in there for two minute he do nt do anything touch this feel that   seventyfive buck what s seventyfive buck what be I see sinatra in there be I be entertain I do nt understand this I m only pay half why not oh no no no I pay what I say consider for a second I do nt care no I do nt care absolutely no I do nt know but I do nt I m actually almost happy to hear it I guess I should be but I m not you re a fine person you re a humanitarian she s very sexy I know I know see she tonight see she tomorrow go knock yourself out she s too crazy for I I m okay I m fine I m wonderful I never feel well in my whole life shocked and angry you pay that crook he do nt do anything jerry its a scam who tell you to do that oh I be try to make a point gasp I think I swallow a fly I swallow a fly what do I do he turn to a coffee shop patron at the counter what can happen,0.15355339105339108,0.5329725829725828,0.7676,0.132,0.735,0.133,6.662217785678675e-06,2.1097022987982467e-05,7.77258741662512e-06,1.4434805202303794e-05,1.887628372608958e-05,2.331776224987536e-05,3.5531828190286264e-05,1.332443557135735e-05,1.7765914095143132e-05,1.9986653357036023e-05,949,S02,0,"0: Dating, Relationships, Sex "
1730,george,S02E02,you know I ve be think I can not envision any circumstance in which ill ever have the opportunity to have sex again how s it gon na happen I just do nt see how it could occur they always make I take stock of my life and how I ve pretty much waste all of it and how I plan to continue waste it you know I ca nt believe you re even consider not play we need you you re hit everything to jerry who s go to play left field bender he ca nt play leave he stink I just do nt see what purpose be it gon na serve your go I mean you think dead peole care who s at their funeral they do nt even know they re have a funeral its not like she s hang out in the back go I ca nt believe jerry do nt show up if you re a spirit and you can travel to other dimension and galaxy and find out the mystery of the universe you think she s gon na wanna hang around drexler funeral home on ocean parkway you know how easy it be for dead people to travel its not like get on a bus one second snap his finger its all mental who get pick off in softball its unheard of and then in the fifth inning why do you take off on the pop fly smile what about sharon besser maybe manya miss the funeral because she be off visit another galaxy that day not necessarily,-0.003385416666666672,0.43098958333333337,-0.9703,0.151,0.791,0.058,2.826615410707219e-05,4.2399231160608286e-05,2.826615410707219e-05,2.826615410707219e-05,2.826615410707219e-05,8.479846232121657e-05,7.066538526768047e-05,2.826615410707219e-05,2.826615410707219e-05,4.2399231160608286e-05,266,S02,3,"3: Family, Friends, Food"
1872,george,S02E03,singe master of the housedoling out the charmready with a handshake and an open palmtell a saucy talklove to make a stireveryone appreciate a oh its from le miserable I go to see it last week I ca nt get it out of my head I just keep singe it over and over it just come out I have no control over it I m singin it on elevator bus I m singin it in front of client its take over my life artie schuman from camp hatchapee what be you bud abbott what be you callin I an idiot oh schumann of course really jerry nod his head well what if it do nt stop oh that I really need to hear that help a lot all right just say something just start talk change the subject let just go all right I ca nt believe be have dinner with alton bene yeah hell be look at we like he s backstage at a puppet show singe   master of the housekeeper of the inn   jerry reenter the living room and modestly model his new jacket for george george be impressed this be huge when do this happen can I say one thing to you and I say this with an unblemished record of staunch heterosexuality its fabulous and ill tell you something else I m not even go to ask you I want to know but I m not gon na ask you ll tell I when you feel comfortable so what be it four hundred five hundred do you pay five hundred for this jerry coyly ignore george question while george grow increasingly serious over six ca nt be seven do nt tell I you pay seven hundred dollar for this jacket do you pay seven hundred dollar for this jacket be that what you re say to I you be sick be that what you pay for this jacket over seven hundred what do you pay for this jacket I wo nt say anything I wanna know what you pay for this jacket oh my god a thousand dollar you pay a thousand dollar for this jacket all right fine george head for the door I m walk outta here right now think you pay a thousand dollar for this jacket unless you tell I different jerry remain silent oh ho all right ill tell you what if you do nt say anything in the next five second ill know it be over a thousand well I m go with he i d like to   I ve never do a solid before singe master of the housequick to catch your eyenever want a passerby to pass he by maybe he do nt show up I do nt think there s ever be an appointment in my life where I want the other guy to show up george notice an elderly man in a leather chair wait a second be that he I m nervous its a great thrill to meet you sir and ill have a club soda with no ice you like ice I say do you like ice do nt you think you get more without it yeah yeah she s punctual   and uh she s be late sometimes I guess   chuckle today she s late yup I know I know that s what they say the weather guy dr waldo no of course not I do nt point at jerry oh he s the comedian no no he s just be modest I just want to tell you that I really enjoy fair game I think it be just brilliant yea well maybe some part the   drivel   part oh my gosh I just realize   I have to make a phone call ii ca nt believe would you thank you for leave I alone with he well let just leave where be she how could she leave we alone with this lunatic ten more minute and that s it I m leave I have to tell you this guy scare I if she do nt show up we ca nt possibly have dinner with he alone well say be frightened and we have to go home I do nt know just start scratch tell he you have the crab he be in the military hell understand that improvise my uh uncle be have an operation I just want to see how he be bone marrow sure guatamala come on let go to hell with elaine be die here contemptuously imitate alton voice he s in the bathroom could nt be well get outta here where do you come up with this stuff singe master of the housedoling out the charmready with a handshake and an open I would nt think so to jerry why do nt you just turn it inside out its uh its only a few block,0.05484632034632034,0.575416305916306,-0.9498,0.13,0.76,0.11,1.2044111558583313e-05,3.9143362565395764e-05,1.505513944822914e-05,2.1077195227520797e-05,3.011027889645828e-05,2.8604764951635366e-05,5.720952990327073e-05,2.709925100681245e-05,7.52756972411457e-06,4.215439045504159e-05,815,S02,0,"0: Dating, Relationships, Sex "
2065,george,S02E04,excited so then as we be leave we be just kind of stand there and she be sort of smile at I and I be nt sure if she want I to ask she out because when woman smile at I I do nt know what it mean sometimes I interpret it like they re psychotic or something and I do nt know if I m suppose to smile back I do nt know what to do so I just stand there like   remember how quayle look when benson give he that kennedy line that s what I look like no I freeze oh yeah so wait wait a halfhour later I m back in the office I tell lloyd the whole story he say so why do nt you call she I say I ca nt I could nt I could nt do it right then for I to ask a woman out I get ta get into a mental state like the karate guy before they break the brick so lloyd call I a wuss yeah anyway he shame I into it right and and to cover my nervousness I start eat an apple because I think if they hear you chew on the other end of the phone it make you sound casual right so I call she up I tell she its I she give I an enthusiastic hi oh I do nt get the enthusiastic hi I m outta there so be talk and I do nt like to go too long before I ask they out I wanna get it over with right away so I just blurt out what be you do saturday night she buy then I get off the phone right away its amazing we we both have date on the same night I ca nt remember the last time that happen I ca nt stand do laundry that s why I have forty pair of underwear absolutely because instead of do a wash I just keep buy underwear my goal be to have over three hundred and sixty pair that way I only have to do wash once a year yeah clear his throat we should do this again oh no thanks I ca nt drink coffee late at night it keep I up okay yeah take it easy frustrated take it easy huh take it easy she invite I up at twelve oclock at night for coffee and I do nt go up no thank you I do nt want coffee it keep I up too late for I to drink coffee I say this to her people this stupid should nt be allow to live I ca nt imagine what she must think of I she invite I up coffee not coffee coffee be sex coffee coffee in the morning its not coffee at twelve oclock at night yeah people who work at norad whore on twentyfour hour missile watch everything be go along so great she be laugh I be funny   I keep say to myself keep it up do nt blow it you re do great I ca nt call she now its too soon I m plan a wednesday call of course you do but you re imagine a guy you like not a guy who go oh no I do nt drink coffee late at night if I call she now she s gon na think I m too needy woman do nt wanna see need they want a takecharge guy   a colonel a kaiser a tsar that s exactly what I m try to avoid yes she want I to like she if she like I but she do nt like I all right I get ta make a call everybody out come on because I ca nt call a woman with other people in the room come on let go yes to elaine right alright to jerry oh jerry do you have any apple um hi its george george costanza remember I the guy that do nt come up for coffee you see I do nt realise that coffee do nt really mean   well whatever anyway it be fun it be   it be fun so   oh boy um so   you call I back if you want its up to you you know whatever you wanna do either way the ball in your court so uh take it easy get her machine I m dead I m a dead man that s it I m dead I m a dead man dead man I do nt know what the hell I say I give she an ultimatum and there s nothing I can do its a machine the little light be blink right now come and listen to the idiot hey everybody the idiot on now I m in the bad position of all he do that somebody do that wait till you hear this george see donna and no jerry whoa ah I m sorry I do nt I have no idea I just want to talk to he for a minute but ill come back you sure okay donna oh you re the one that like that commercial backpedalle no he he do nt actually tell I that uh we be talk about that commercial   in fact I think I bring it up because I like that commercial no he he would never tell I anything he never discuss anything he s he s like a clam you re not gon na mention this to he say what nothing I to donna why do you have to get I in trouble boy oh boy hello all right we should be go come on come on I ca nt believe I say that you know I I m a vault you be not gon na believe what s go on with this woman okay so you remember I make the initial call sunday she do nt call back I call again monday I leave another message I call tuesday I get the machine again I know you re there I do nt know what your story be yesterday I m a volcano   I try one more call the machine come on and I let fly like mussolini from the balcony where the hell do you get the nerve you invite I up for coffee and then you do nt call I back for four day I do nt like coffee I do nt have to come up i d like to get one more shot at the coffee just so I could spit it in your face I lose it she do today she call my office she say she s be in the hampton since sunday she do nt know if I be try to get in touch with her her machine break and she s be use her old machine and she do nt have the beeper for it exactly but they re on there   wait she say she ca nt wait to see I be have dinner tonight she s suppose to call I as soon as she get home ill meet she outside the building unless she go for the bathroom that s my only chance george crumble he drop the cassette on the table who be I kid I ca nt do this I ca nt do this I do nt even know how to work those stupid machine you do it for I come on it ll be so much easy ill tell she I bump into you I m give you a ride uptown you do I think I may be in love with this woman oh you be such a wuss yeah well there be traffic it might take she till eightfifteen a signal right um okay uh okay the signal be ill call out tippytoe you do nt like tippy toe all right uh okay I get it um ill sing how do you solve a problem like maria oh its a lovely song singing how do you solve a problem like maria you pick it peter paul and mary alright ok you get the tape how do you feel confident you nervous get up get up its she oh the hell with this I m scared to death just walk away its off cancel everything go I I could nt wait I be too anxious to see you oh this be my friend jerry seinfeld I just bump into he around the corner be nt that a coincidence the funny thing be I see he all the time you know we could go uptown and that way we could give jerry a ride home do nt you wanna go upstairs first yes yes but uh I have to make a call so I know jerry he have this phobia about public toilet I think we really should go upstairs right right no no that can happen I ve uh I ve read about that in medical journal its a freak thing but uh carol can I talk to you for a second right now please this be very very important from other room uh tippy toe tippy toe lemon tree carol that s so rude please I m serious just for a moment if you would nt mind and then well talk to jerry to jerry do nt you find that strange oh uh,0.0886038961038961,0.5096872082166198,0.3749,0.112,0.755,0.133,6.441804736014842e-06,1.207838388002783e-05,8.857481512020408e-06,1.1273158288025974e-05,7.247030328016697e-06,1.852018861604267e-05,1.207838388002783e-05,1.006531990002319e-05,5.636579144012987e-06,5.636579144012987e-06,1576,S02,0,"0: Dating, Relationships, Sex "
2408,george,S02E05,thank see you later donna what happen to you what what do you do what do you do do what elaine move into your building right above you you re gon na be neighbor she s right above you how could you do that do nt insult I my friend remember who you re talk to no one a big idiot than I do you ever go to a single weekend in the poconos you re doom you re gon na have to have all your sex at women apartment it ll be like a permanent road trip forget about the home bed advantage of course we all do I be just in there its embarrassing they see I walk out my censor quit two year ago he check into a clinic emotionally exhaust tough I never hear of anyone would turned down an apartment because of a weak shower spray for that rent shed take a bath in the toilet tank if she have to i d like to have a kid of course you have to have a date first   remember my friend adam from detroit he s a cube anyway he get marry six month ago he tell I ever since he s be wear a wedding band woman have be come on to he everywhere he go I wonder if that s really true thank a lot ill give it back to you in a week I m not do that no ill put half a can of mousse in my head like you what happen to you jubilant five thousand dollar she do nt have five thousand dollar so she ca nt get the apartment so she do nt move in and how do the baldness fit into that plan be you kid I lie every second of the day my whole life be a sham of course you do yeah my wife could nt make it today she s get something with her mother   who know what s go on with she do nt let any one kid you its tough   yeah my wife start get on I about the lawn today I m tellin you its one thing after another uh no no she s work she s an   etymologist you know bee fly gnat wwhat about you call after she but I m sorry I do nt see the big deal about be a matador the bull charge you move the cape what s so hard laugh you d have to be a real loser to try something like that umm I m not its just a sociological experiment be that right I just throw away a lifetime of guiltfree sex and floor seat for ever sport event in madison square garden so please a little respect for I be costanza lord of the idiot but suddenly a new contender have emerge,-0.03280653170359055,0.4440645955351839,0.7102,0.086,0.825,0.09,3.0381944444444444e-05,4.340277777777777e-05,4.340277777777777e-05,2.1701388888888886e-05,4.340277777777777e-05,8.680555555555555e-05,6.944444444444444e-05,3.472222222222222e-05,2.1701388888888886e-05,6.076388888888889e-05,480,S02,3,"3: Family, Friends, Food"
2611,george,S02E06,that take awhile i d like to help but my neck so how long have it be in the basement what s in it I know someone who ll do it she s good she s honest student ca nt clean its anathema explain they do nt like it wait a second george get up and head for the statue in kramer hand I ca nt believe this let I see this let I just see it let I just see it for a second oh my god its exactly the same when I be ten year old my parent have this very same statue on the mantle of our apartment exactly and one day I grab it and I be use it as a microphone I be singe macarthur park and I get to the part about ill never have that recipe again and it slip out of my hand and it break my parent look at I like I smash the ten commandment to this day they bring it up it be the single most damaging experience in my life aside from see my father naked no kramer I have to have this statue what no dibs I need this statue cmon give it no no no potato man inkadink yeah good good no no no no I m it I win not expect the statue to be throw dit I ca nt believe I win at inkadink yea no no no I do nt want to carry it around all night ill pick it up later to kramer what about your stuff what its bad we ca nt just let he get away with this forget it I already call my parent I tell they to expect the surprise of a lifetime my mother make her roasted potato who be this rava let I just call he oh he steal it I think you say one oclock remember do nt take any crap ill be right here mutter to himself I wonder why what be he talk about yeah he you already get it take a wild guess what a mind I ca nt believe what I m hear pawn shop clean they out again with the rava oh I find you so charming you wuss singapore do you hear this that s it that s it I ca nt take it I ca nt take it anymore you steal the statue you re a theif you re a liar I m the judge and the jury pal and the verdict be guilty guilty oh I m crazy oh ho class huh at columbia let I tell you something pal I call the registrar office I check you out they have no record of a ray thoma at that school you liar you mean alias well that be bind to happen ma will you stop   its just a statue   how be it my fault   it be steal I do nt even touch it this time   okay fine   I do nt see why this should affect to potato   okay   goodbye george hang up she do nt react to disappointment very well unlike I there s just no justice this experience have change I its make I more cynical more bitter more jaded casually sure why not yeah hell have my parent kramer I ca nt believe it oh you re my hero I feel like a huge weight be lift off my shoulder I   I   I feel happy kramer I do nt know how to thank you,0.12131458966565352,0.5400118203309693,0.0828,0.175,0.648,0.177,4.32375094041583e-05,4.0355008777214404e-05,3.459000752332664e-05,4.32375094041583e-05,3.170750689638275e-05,6.918001504665328e-05,5.188501128498995e-05,4.32375094041583e-05,3.170750689638275e-05,5.188501128498995e-05,589,S02,3,"3: Family, Friends, Food"
