,0
sorry,566
need,549
two,549
car,539
let,533
even,532
wait,531
great,516
much,513
around,509
nice,489
nothing,478
put,469
getting,461
doesnt,459
us,457
talk,451
door,450
thought,436
ever,434
believe,433
new,427
day,417
looking,415
happened,415
apartment,409
listen,408
talking,407
night,402
work,400
love,398
show,396
god,382
away,368
looks,368
whole,363
better,363
kind,361
bad,358
thank,354
please,354
lot,352
first,350
last,347
name,339
coffee,336
stop,330
hell,321
long,318
id,317
money,316
ask,314
hear,313
life,307
guys,307
always,304
thanks,302
room,302
another,296
guess,296
find,293
fine,291
place,289
hands,288
went,287
feel,287
course,286
years,286
hand,285
youve,284
next,281
leave,279
isnt,278
help,276
jerrys,274
second,274
trying,273
funny,272
move,269
wrong,269
excuse,269
three,268
anyway,266
things,266
wouldnt,264
idea,263
left,261
coming,259
made,259
problem,259
mind,258
seen,256
saw,255
face,254
keep,253
home,253
care,250
whos,246
someone,244
meet,244
today,243
couldnt,242
everything,240
table,236
remember,235
pretty,233
wanted,226
office,222
eat,218
taking,218
job,217
gave,217
actually,217
later,215
together,215
pick,215
every,215
watch,214
old,212
understand,212
minutes,212
heard,212
must,211
real,211
goes,211
friends,210
gets,209
dollars,209
sit,209
check,208
house,207
youll,206
called,205
thinking,205
tonight,204
done,204
took,203
use,203
might,202
business,201
five,201
takes,201
wont,200
else,196
supposed,194
says,192
bathroom,191
laughs,191
number,189
wants,188
minute,187
came,186
comes,183
leaves,183
makes,181
person,180
costanza,180
try,179
saying,179
deal,179
stuff,178
matter,178
open,177
tomorrow,177
movie,176
baby,175
walks,175
parents,174
turns,172
making,171
pay,170
walk,169
may,168
dinner,167
wear,167
book,166
enough,166
hold,166
havent,165
wheres,164
bye,163
crazy,163
date,162
live,162
starts,162
happy,161
cause,160
front,158
sitting,158
wow,157
used,157
building,157
jacket,156
best,156
wasnt,154
somebody,154
beautiful,154
morning,154
ready,153
start,152
already,152
stupid,151
game,151
story,150
hundred,150
anyone,148
forget,147
bring,147
hot,146
buy,146
ahead,146
hair,144
knew,144
shirt,143
play,143
sex,143
laughing,142
ten,140
party,139
wearing,139
change,138
anymore,138
food,138
water,138
read,137
side,137
couple,136
four,136
enters,135
happen,134
turn,134
walking,134
week,133
met,133
